Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R1_001	63.5722422303789	63.0	143.99280856988344	18.181818181818183	86909.0
Collibri_standard_protocol-HBR-Collibri-100_ng-2_S1_L001_R2_001	61.43207262769103	62.0	143.9929121264771	27.27272727272727	86909.0
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R1_001	62.760013611266615	63.0	141.381620399337	18.181818181818183	91101.0
Collibri_standard_protocol-HBR-Collibri-100_ng-3_S2_L001_R2_001	61.02238175212128	63.0	141.3818289590674	27.27272727272727	91101.0
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R1_001	64.04809511668165	62.0	139.6516928568553	9.090909090909092	149038.0
Collibri_standard_protocol-UHRR-Collibri-100_ng-2_S3_L001_R2_001	62.24654115057905	62.0	139.6516928568553	27.27272727272727	149038.0
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R1_001	63.886644582693705	62.0	139.18210524898333	9.090909090909092	148524.0
Collibri_standard_protocol-UHRR-Collibri-100_ng-3_S4_L001_R2_001	62.051250976273195	62.0	139.1820715843904	18.181818181818183	148524.0
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R1_001	61.48142426817023	62.0	142.47422182745038	18.181818181818183	103576.0
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001	61.11454390978605	62.0	142.42887348420484	18.181818181818183	103576.0
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R1_001	61.58891098065452	62.0	142.10841193709186	9.090909090909092	106123.0
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R2_001	61.273239542794684	62.0	142.04955570423	18.181818181818183	106123.0
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R1_001	59.243676018030214	61.0	143.57421500900233	18.181818181818183	156626.0
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R2_001	59.47735369606579	61.0	143.51884106087113	18.181818181818183	156626.0
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R1_001	60.75597623931302	61.0	143.65531322331157	18.181818181818183	159423.0
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R2_001	61.0181717819888	61.0	143.60028352245286	18.181818181818183	159423.0
